Date,minor,Open,High,Low,Close,Volume
2015-01-02,AAPL,111.39,111.44,107.35,109.33,53204626.0
2015-01-02,AMZN,312.58,314.75,306.96,308.52,2788101.0
2015-01-02,GOOG,529.01,531.27,524.1,524.81,1446662.0
2015-01-02,GOOGL,532.6,535.8,527.88,529.55,1327870.0
2015-01-02,MSFT,46.66,47.42,46.54,46.76,27913852.0
2015-01-05,AAPL,108.29,108.65,105.41,106.25,64285491.0
2015-01-05,AMZN,307.01,308.38,300.85,302.19,2774231.0
2015-01-05,GOOG,523.26,524.33,513.06,513.87,2054238.0
2015-01-05,GOOGL,527.15,527.99,517.75,519.46,2059119.0
2015-01-05,MSFT,46.37,46.73,46.25,46.32,39673865.0
2015-01-06,AAPL,106.54,107.43,104.63,106.26,65797116.0
2015-01-06,AMZN,302.24,303.0,292.38,295.29,3519034.0
2015-01-06,GOOG,515.0,516.18,501.05,501.96,2891950.0
2015-01-06,GOOGL,520.5,521.21,505.55,506.64,2731813.0
2015-01-06,MSFT,46.38,46.75,45.54,45.65,36447854.0
2015-01-07,AAPL,107.2,108.2,106.7,107.75,40105934.0
2015-01-07,AMZN,297.5,301.28,295.33,298.42,2640349.0
2015-01-07,GOOG,507.0,507.24,499.65,501.1,2059366.0
2015-01-07,GOOGL,510.95,511.49,503.65,505.15,2345875.0
2015-01-07,MSFT,45.98,46.46,45.49,46.23,29114061.0
2015-01-08,AAPL,109.23,112.15,108.7,111.89,59364547.0
2015-01-08,AMZN,300.32,303.14,296.11,300.46,3088398.0
2015-01-08,GOOG,497.99,503.48,491.0,502.68,3344395.0
2015-01-08,GOOGL,501.51,507.5,495.02,506.91,3662224.0
2015-01-08,MSFT,46.75,47.75,46.72,47.59,29645202.0
2015-01-09,AAPL,112.67,113.25,110.21,112.01,53699527.0
2015-01-09,AMZN,301.48,302.87,296.68,296.93,2592360.0
2015-01-09,GOOG,504.76,504.92,494.79,496.17,2065715.0
2015-01-09,GOOGL,508.18,508.6,498.65,500.72,2100024.0
2015-01-09,MSFT,47.61,47.82,46.9,47.19,23944181.0
2015-01-12,AAPL,112.6,112.63,108.8,109.25,49650790.0
2015-01-12,AMZN,297.56,298.51,289.28,291.41,3421392.0
2015-01-12,GOOG,494.94,495.98,487.56,492.55,2320446.0
2015-01-12,GOOGL,499.24,500.28,490.91,497.06,2856938.0
2015-01-12,MSFT,47.42,47.54,46.36,46.6,23651887.0
2015-01-13,AAPL,111.43,112.8,108.91,110.22,67091928.0
2015-01-13,AMZN,297.48,301.5,293.23,294.74,4136442.0
2015-01-13,GOOG,498.84,502.98,492.39,496.18,2365687.0
2015-01-13,GOOGL,502.57,508.6,497.26,501.8,3050295.0
2015-01-13,MSFT,46.97,47.91,46.06,46.36,35270601.0
2015-01-14,AAPL,109.04,110.49,108.5,109.8,48956588.0
2015-01-14,AMZN,291.93,295.91,286.5,293.27,5538666.0
2015-01-14,GOOG,494.65,503.23,493.0,500.87,2229638.0
2015-01-14,GOOGL,500.42,508.26,498.16,505.93,2639959.0
2015-01-14,MSFT,45.96,46.24,45.62,45.96,29719580.0
2015-01-15,AAPL,110.0,110.06,106.66,106.82,60013996.0
2015-01-15,AMZN,294.0,296.0,286.82,286.95,4419196.0
2015-01-15,GOOG,505.57,505.68,497.76,501.79,2711355.0
2015-01-15,GOOGL,508.89,509.75,502.01,504.01,2556682.0
2015-01-15,MSFT,46.22,46.38,45.41,45.48,32750779.0
2015-01-16,AAPL,107.03,107.58,105.2,105.99,78513345.0
2015-01-16,AMZN,286.28,290.79,285.25,290.74,3478176.0
2015-01-16,GOOG,500.01,508.19,500.0,508.08,2292043.0
2015-01-16,GOOGL,503.15,510.85,503.09,510.46,2482858.0
2015-01-16,MSFT,45.31,46.28,45.17,46.24,35695289.0
2015-01-20,AAPL,107.84,108.97,106.5,108.72,49899907.0
2015-01-20,AMZN,292.59,293.36,286.39,289.44,3075081.0
2015-01-20,GOOG,511.0,512.5,506.02,506.9,2225922.0
2015-01-20,GOOGL,512.77,515.61,509.37,509.94,2343612.0
2015-01-20,MSFT,46.3,46.65,45.57,46.39,36161860.0
2015-01-21,AAPL,108.95,111.06,108.27,109.55,48575897.0
2015-01-21,AMZN,289.64,306.0,287.26,297.25,10065076.0
2015-01-21,GOOG,507.25,519.28,506.2,518.04,2262455.0
2015-01-21,GOOGL,510.84,521.85,509.59,520.39,2317789.0
2015-01-21,MSFT,45.94,46.14,45.48,45.92,39081143.0
2015-01-22,AAPL,110.26,112.47,109.72,112.4,53796409.0
2015-01-22,AMZN,300.0,312.25,300.0,310.32,5362640.0
2015-01-22,GOOG,521.48,536.33,519.7,534.39,2669558.0
2015-01-22,GOOGL,523.0,538.84,521.91,537.3,2803401.0
2015-01-22,MSFT,46.38,47.14,46.08,47.13,35898035.0
2015-01-23,AAPL,112.3,113.75,111.53,112.98,46464828.0
2015-01-23,AMZN,308.08,316.93,307.72,312.39,4496419.0
2015-01-23,GOOG,535.59,542.17,533.0,539.95,2275485.0
2015-01-23,GOOGL,538.03,545.41,535.75,541.95,2298290.0
2015-01-23,MSFT,47.36,47.39,46.8,47.18,26211594.0
2015-01-26,AAPL,113.74,114.36,112.8,113.1,55614979.0
2015-01-26,AMZN,311.82,313.0,307.52,309.66,3169665.0
2015-01-26,GOOG,538.53,539.0,529.67,535.21,1539524.0
2015-01-26,GOOGL,541.5,541.5,532.07,536.72,1546563.0
2015-01-26,MSFT,47.0,47.13,46.24,47.01,42525530.0
2015-01-27,AAPL,112.42,112.48,109.03,109.14,95568749.0
2015-01-27,AMZN,306.3,310.24,302.62,306.75,2920315.0
2015-01-27,GOOG,529.97,530.7,518.19,518.63,1898844.0
2015-01-27,GOOGL,531.4,532.78,520.86,521.19,1957440.0
2015-01-27,MSFT,42.95,43.2,42.1,42.66,169163953.0
2015-01-28,AAPL,117.62,118.12,115.31,115.31,146477063.0
2015-01-28,AMZN,309.81,311.51,303.8,303.91,3063774.0
2015-01-28,GOOG,522.78,522.99,510.0,510.0,1679230.0
2015-01-28,GOOGL,525.0,525.69,512.35,512.43,1791077.0
2015-01-28,MSFT,42.74,42.79,41.16,41.19,84507078.0
2015-01-29,AAPL,116.32,119.19,115.56,118.9,84436432.0
2015-01-29,AMZN,304.73,312.8,299.33,311.78,8656567.0
2015-01-29,GOOG,511.0,511.09,501.2,510.66,4174924.0
2015-01-29,GOOGL,512.9,515.19,503.48,513.23,3950857.0
2015-01-29,MSFT,40.93,42.12,40.79,42.01,63585273.0
2015-01-30,AAPL,118.4,120.0,116.85,117.16,83745461.0
2015-01-30,AMZN,346.32,359.5,340.74,354.53,23856060.0
2015-01-30,GOOG,515.86,539.87,515.52,534.52,5590977.0
2015-01-30,GOOGL,519.0,543.1,518.18,537.55,6055445.0
2015-01-30,MSFT,41.55,41.58,40.35,40.4,78004944.0
2015-02-02,AAPL,118.05,119.17,116.08,118.63,62739100.0
2015-02-02,AMZN,350.05,365.0,350.01,364.47,10231914.0
2015-02-02,GOOG,531.73,533.0,518.55,528.48,2841976.0
2015-02-02,GOOGL,534.32,536.5,521.72,532.2,3768861.0
2015-02-02,MSFT,40.59,41.37,40.23,41.28,50352532.0
2015-02-03,AAPL,118.5,119.09,117.61,118.65,51915749.0
2015-02-03,AMZN,360.29,367.82,360.21,363.55,6212565.0
2015-02-03,GOOG,528.0,533.4,523.26,529.24,2033085.0
2015-02-03,GOOGL,529.94,537.45,526.81,533.3,2353096.0
2015-02-03,MSFT,41.63,41.93,41.04,41.6,52082448.0
2015-02-04,AAPL,118.5,120.51,118.31,119.56,70149743.0
2015-02-04,AMZN,358.38,367.5,358.23,364.75,4169927.0
2015-02-04,GOOG,529.24,532.67,521.27,522.76,1659125.0
2015-02-04,GOOGL,533.14,536.75,525.03,526.1,1694832.0
2015-02-04,MSFT,41.94,42.21,41.36,41.84,41614812.0
2015-02-05,AAPL,120.02,120.23,119.25,119.94,42246245.0
2015-02-05,AMZN,366.0,378.8,365.9,373.89,7247605.0
2015-02-05,GOOG,523.79,528.5,522.09,527.58,1844687.0
2015-02-05,GOOGL,527.93,530.69,525.64,529.83,1658751.0
2015-02-05,MSFT,42.22,42.64,41.86,42.45,36548168.0
2015-02-06,AAPL,120.02,120.25,118.45,118.93,43706567.0
2015-02-06,AMZN,374.87,375.99,371.01,374.28,3892382.0
2015-02-06,GOOG,527.64,537.2,526.41,531.0,1758650.0
2015-02-06,GOOGL,531.01,540.22,528.65,533.88,2146922.0
2015-02-06,MSFT,42.68,42.79,42.15,42.41,34616554.0
2015-02-09,AAPL,118.55,119.84,118.43,119.72,38889797.0
2015-02-09,AMZN,371.0,374.41,367.2,370.56,2724630.0
2015-02-09,GOOG,528.0,532.0,526.02,527.83,1264276.0
2015-02-09,GOOGL,531.06,533.88,527.55,529.28,1515687.0
2015-02-09,MSFT,42.24,42.74,42.21,42.36,31381061.0
2015-02-10,AAPL,120.17,122.15,120.16,122.02,62008506.0
2015-02-10,AMZN,371.19,374.3,368.51,373.0,2287232.0
2015-02-10,GOOG,529.3,537.7,526.92,536.94,1745076.0
2015-02-10,GOOGL,532.15,541.0,529.17,540.16,2371468.0
2015-02-10,MSFT,42.74,42.77,42.18,42.6,29670676.0
2015-02-11,AAPL,122.77,124.92,122.5,124.88,73561797.0
2015-02-11,AMZN,371.23,377.1,371.1,375.14,2786523.0
2015-02-11,GOOG,535.3,538.45,533.38,535.97,1373970.0
2015-02-11,GOOGL,539.73,541.95,536.0,538.0,1915336.0
2015-02-11,MSFT,42.65,42.65,42.21,42.38,38262509.0
2015-02-12,AAPL,126.06,127.48,125.57,126.46,74474466.0
2015-02-12,AMZN,375.1,378.51,373.15,377.17,2791050.0
2015-02-12,GOOG,537.25,544.82,534.67,542.93,1615824.0
2015-02-12,GOOGL,539.66,548.34,537.0,546.01,2429520.0
2015-02-12,MSFT,42.66,43.09,42.51,43.09,33268831.0
2015-02-13,AAPL,127.28,127.28,125.65,127.08,54272219.0
2015-02-13,AMZN,378.41,383.0,377.01,381.83,3475069.0
2015-02-13,GOOG,543.35,549.91,543.13,549.01,1895126.0
2015-02-13,GOOGL,547.51,552.54,546.6,551.16,2369115.0
2015-02-13,MSFT,43.38,43.87,43.15,43.87,40264887.0
2015-02-17,AAPL,127.49,128.88,126.92,127.83,63152405.0
2015-02-17,AMZN,377.72,379.98,372.67,375.43,3673208.0
2015-02-17,GOOG,546.83,550.0,541.09,542.84,1612439.0
