Date,minor,Open,High,Low,Close,Volume
2002-04-08,PCLN,26.46,28.2,25.5,27.6,230900.0
2002-04-09,PCLN,27.84,28.86,26.34,26.94,172300.0
2002-04-10,PCLN,26.7,26.76,23.88,24.3,511800.0
2002-04-11,PCLN,24.18,25.08,23.1,23.1,487900.0
2002-04-12,PCLN,23.7,24.72,23.22,23.82,367200.0
2002-04-15,PCLN,26.28,26.94,25.62,26.22,471700.0
2002-04-15,TXN,32.25,32.43,31.33,32.13,8498200.0
2002-04-16,AAPL,1.8,1.86,1.79,1.84,152353600.0
2002-04-16,ADBE,19.96,20.25,19.86,20.06,5567000.0
2002-04-16,AMGN,57.14,57.84,56.67,57.75,6310300.0
2002-04-16,AMZN,14.18,14.29,13.72,14.01,3599400.0
2002-04-16,BIIB,61.95,62.65,60.77,61.52,3011800.0
2002-04-16,CELG,2.94,3.04,2.94,3.0,4984800.0
2002-04-16,CMCSA,9.94,10.47,9.94,10.45,1189200.0
2002-04-16,COST,42.23,43.0,42.12,43.0,3525300.0
2002-04-16,CSCO,15.32,15.66,15.2,15.58,50243500.0
2002-04-16,GILD,4.55,4.62,4.49,4.56,16700800.0
2002-04-16,INTC,29.08,31.3,28.24,29.51,50941200.0
2002-04-16,MSFT,28.2,29.59,28.18,28.9,49688000.0
2002-04-16,PCLN,27.0,28.74,26.94,28.32,297300.0
2002-04-16,QCOM,18.68,19.82,18.66,19.81,28513000.0
2002-04-16,SBUX,6.3,6.38,6.27,6.34,10692800.0
2002-04-16,TXN,33.6,34.51,33.54,33.79,18126300.0
2002-04-17,AAPL,1.85,1.87,1.81,1.86,85362200.0
2002-04-17,ADBE,20.04,20.16,19.56,19.74,7548400.0
2002-04-17,AMGN,57.84,58.1,56.05,56.44,7172700.0
2002-04-17,AMZN,14.24,15.0,14.24,14.82,7414300.0
2002-04-17,BIIB,61.8,61.85,60.65,61.0,2119500.0
2002-04-17,CELG,3.0,3.02,2.95,2.97,2548800.0
2002-04-17,CMCSA,10.47,10.53,10.19,10.29,558600.0
2002-04-17,COST,42.8,43.05,42.15,42.54,2621400.0
2002-04-17,CSCO,15.76,16.05,15.44,16.0,49776400.0
2002-04-17,GILD,4.6,4.63,4.3,4.42,15730400.0
2002-04-17,INTC,31.2,31.28,30.31,30.64,62368800.0
2002-04-17,MSFT,28.98,29.14,28.21,28.32,53319400.0
2002-04-17,PCLN,28.62,29.1,27.3,28.32,247200.0
2002-04-17,QCOM,20.01,20.18,19.3,19.9,25892000.0
2002-04-17,SBUX,6.36,6.43,6.29,6.41,11727600.0
2002-04-17,TXN,34.0,34.86,33.92,34.05,13022200.0
2002-04-18,AAPL,1.82,1.83,1.77,1.82,95893000.0
2002-04-18,ADBE,19.8,19.95,19.23,19.75,4500200.0
2002-04-18,AMGN,56.26,58.28,56.15,57.52,7508300.0
2002-04-18,AMZN,14.7,14.86,13.95,14.26,3737300.0
2002-04-18,BIIB,60.98,64.37,60.67,64.0,3224300.0
2002-04-18,CELG,2.98,3.03,2.94,3.0,4372800.0
2002-04-18,CMCSA,10.27,10.51,10.25,10.41,709800.0
2002-04-18,COST,42.43,42.97,42.19,42.76,3373000.0
2002-04-18,CSCO,15.72,16.15,15.1,15.44,63816900.0
2002-04-18,GILD,4.49,4.5,4.23,4.44,25801600.0
2002-04-18,INTC,30.54,30.94,29.6,30.45,43514500.0
2002-04-18,MSFT,28.4,28.75,26.34,28.18,53766600.0
2002-04-18,PCLN,27.78,28.8,26.58,28.02,293700.0
2002-04-18,QCOM,19.02,19.75,18.85,19.2,21225600.0
